Linear Regression,Lasso Regression,Ridge Regression,ElasticNet Regression,Decision Tree Regression,SVR,Gaussian Process Regression,Voting Regressor,MLP,XGB Regressor,Actual SSE
22.913783144277517,22.911805555555556,22.911709820161853,22.911805555555556,22.91421568627451,22.875,0.0,22.907756191367213,22.90568220204203,22.894377,22.9375
22.910257472136863,22.911805555555556,22.911432683764556,22.911805555555556,22.91421568627451,22.875,0.0,22.912327392672807,22.844267794710277,22.918442,22.9375
22.91910975843074,22.911805555555556,22.912025607551293,22.911805555555556,22.91421568627451,22.875,0.0,22.91773037668672,22.694064204489923,22.914417,22.9375
22.90135447965593,22.911805555555556,22.91147859262324,22.911805555555556,22.90234375,22.875,0.0,22.89131503810279,22.881288478066786,22.87777,22.875
22.903158478985453,22.911805555555556,22.911527018441177,22.911805555555556,22.90234375,22.875,0.0,22.909883237101404,23.100421443010948,22.915451,22.9375
22.909309147391205,22.911805555555556,22.911674503161574,22.911805555555556,22.91421568627451,22.875,0.0,22.912179619075957,22.591740021526945,22.913311,22.9375
22.916127027309788,22.911805555555556,22.91152141971937,22.911805555555556,22.91421568627451,22.875,0.0,22.91390220142559,23.07448831285822,22.910692,22.9375
22.905919651479643,22.911805555555556,22.911809258971957,22.911805555555556,22.90234375,22.875,0.0,22.905804177791325,22.850099675745028,22.9147,22.9375
22.91588928235485,22.911805555555556,22.91191754605507,22.911805555555556,22.91421568627451,22.875,0.0,22.90122020920351,22.708706302891915,22.881962,22.875
22.90358434119848,22.911805555555556,22.91197641767613,22.911805555555556,22.90234375,22.875,0.0,22.88588238398777,22.963360506787517,22.876585,22.9375
