Timestamp,MotorTemp,AmbientTemp,Current
13-Aug-2024 17:24:17,28.75,26.8125,0.87388
13-Aug-2024 17:24:32,28.75,26.875,0.8667
13-Aug-2024 17:25:05,28.75,26.8125,0.86431
13-Aug-2024 17:25:20,28.75,26.8125,0.87388
13-Aug-2024 17:25:35,28.75,26.8125,0.86191
13-Aug-2024 17:25:50,28.75,26.8125,0.86431
13-Aug-2024 17:26:05,28.75,26.8125,0.86191
13-Aug-2024 17:26:20,28.75,26.8125,0.8667
13-Aug-2024 17:26:37,28.75,26.75,0.87388
13-Aug-2024 17:26:54,28.75,26.8125,0.8691
13-Aug-2024 17:27:11,28.75,26.8125,0.8691
13-Aug-2024 17:27:27,28.75,26.8125,0.87149
13-Aug-2024 17:27:41,28.75,26.75,0.8691
13-Aug-2024 17:27:55,28.75,26.8125,0.87149
13-Aug-2024 17:28:09,28.75,26.8125,0.8667
13-Aug-2024 17:28:25,28.75,26.8125,0.85712
13-Aug-2024 17:28:42,28.75,26.75,0.85952
13-Aug-2024 17:28:56,28.75,26.8125,0.87628
13-Aug-2024 17:29:30,28.75,26.75,0.8691
13-Aug-2024 17:29:48,28.6875,26.75,0.8691
13-Aug-2024 17:30:02,28.6875,26.75,0.87149
13-Aug-2024 17:30:18,28.6875,26.8125,0.86431
13-Aug-2024 17:30:35,28.6875,26.6875,0.85952
13-Aug-2024 17:30:49,28.6875,26.75,0.8667
13-Aug-2024 17:31:04,28.6875,26.8125,0.86191
13-Aug-2024 17:31:20,28.6875,26.8125,0.86191
13-Aug-2024 17:31:34,28.6875,26.8125,0.87149
13-Aug-2024 17:31:48,28.6875,26.8125,0.87388
13-Aug-2024 17:32:02,28.625,26.875,0.86191
13-Aug-2024 17:32:24,28.6875,26.8125,0.87149
13-Aug-2024 17:32:42,28.6875,26.8125,0.85712
13-Aug-2024 17:32:56,28.6875,26.8125,0.8667
13-Aug-2024 17:33:11,28.6875,26.75,0.86191
13-Aug-2024 17:33:25,28.6875,26.8125,0.87149
